modbusAddr,name,register,datatype,desc
400213,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300695,null.null,Input Registers,UINT,undefined
300696,AutbusPADev47_slot0_var1.AutbusPADev47_slot0_var1,Input Registers,USINT,InData1
300697,AutbusPADev47_slot0_var2.AutbusPADev47_slot0_var2,Input Registers,UINT,InData2
300698,AutbusPADev47_slot0_var3.AutbusPADev47_slot0_var3,Input Registers,ULINT,timer
300702,AutbusPADev47_slot0_var4.AutbusPADev47_slot0_var4,Input Registers,UINT,year
300703,AutbusPADev47_slot0_var5.AutbusPADev47_slot0_var5,Input Registers,USINT,month
300704,AutbusPADev47_slot0_var6.AutbusPADev47_slot0_var6,Input Registers,USINT,day
300705,AutbusPADev47_slot0_var7.AutbusPADev47_slot0_var7,Input Registers,USINT,hour
300706,AutbusPADev47_slot0_var8.AutbusPADev47_slot0_var8,Input Registers,USINT,minute
300707,AutbusPADev47_slot0_var9.AutbusPADev47_slot0_var9,Input Registers,USINT,second
400214,AutbusPADev47_slot0_var10.AutbusPADev47_slot0_var10,Holding Registers,USINT,OutData1
400215,AutbusPADev47_slot0_var11.AutbusPADev47_slot0_var11,Holding Registers,USINT,OutData2
300708,AutbusPADev47_slot0_alarm1.AutbusPADev47_slot0_alarm1,Input Registers,USINT,alarm1
300709,AutbusPADev47_slot0_alarm2.AutbusPADev47_slot0_alarm2,Input Registers,USINT,alarm2
400216,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400217,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300710,null.null,Input Registers,UINT,undefined
300711,AutbusPADev48_slot0_var1.AutbusPADev48_slot0_var1,Input Registers,USINT,InData1
300712,AutbusPADev48_slot0_var2.AutbusPADev48_slot0_var2,Input Registers,UINT,InData2
300713,AutbusPADev48_slot0_var3.AutbusPADev48_slot0_var3,Input Registers,ULINT,timer
300717,AutbusPADev48_slot0_var4.AutbusPADev48_slot0_var4,Input Registers,UINT,year
300718,AutbusPADev48_slot0_var5.AutbusPADev48_slot0_var5,Input Registers,USINT,month
300719,AutbusPADev48_slot0_var6.AutbusPADev48_slot0_var6,Input Registers,USINT,day
300720,AutbusPADev48_slot0_var7.AutbusPADev48_slot0_var7,Input Registers,USINT,hour
300721,AutbusPADev48_slot0_var8.AutbusPADev48_slot0_var8,Input Registers,USINT,minute
300722,AutbusPADev48_slot0_var9.AutbusPADev48_slot0_var9,Input Registers,USINT,second
400218,AutbusPADev48_slot0_var10.AutbusPADev48_slot0_var10,Holding Registers,USINT,OutData1
400219,AutbusPADev48_slot0_var11.AutbusPADev48_slot0_var11,Holding Registers,USINT,OutData2
300723,AutbusPADev48_slot0_alarm1.AutbusPADev48_slot0_alarm1,Input Registers,USINT,alarm1
300724,AutbusPADev48_slot0_alarm2.AutbusPADev48_slot0_alarm2,Input Registers,USINT,alarm2
400220,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400221,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
